id,video_id,title,thumbnail_url,published_at,is_live,updated_at
18,Al6WXBvXW7A,Press Release Berita Resmi Statistik Oktober 2025,https://i.ytimg.com/vi/Al6WXBvXW7A/hqdefault.jpg,2025-10-01 19:23:35+00,false,2026-09-02 08:57:00.013535+00
19,7EpaCVg_fiM,Webinar Dalam Rangka Hari Statistik Nasional 2025,https://i.ytimg.com/vi/7EpaCVg_fiM/hqdefault.jpg,2025-09-24 20:26:36+00,false,2026-09-02 08:57:00.013535+00
20,kN9deCyas_U,Press Rilis Berita Resmi Statistik Agustus 2025,https://i.ytimg.com/vi/kN9deCyas_U/hqdefault.jpg,2025-08-01 19:44:11+00,false,2026-09-02 08:57:00.013535+00
21,Gw0JT0PAEOE,Press Release Berita Resmi Statistik Juli 2025,https://i.ytimg.com/vi/Gw0JT0PAEOE/hqdefault.jpg,2025-07-01 19:40:12+00,false,2026-09-02 08:57:00.013535+00
102,CuVHw6sRLvI,Press Rilis Berita Resmi Statistik Juni 2025,https://i.ytimg.com/vi/CuVHw6sRLvI/hqdefault.jpg,2025-06-02 19:02:41+00,false,2026-09-02 08:57:00.013535+00
103,vkHJ1EaJW0A,Release BRS 2 Mei 2025,https://i.ytimg.com/vi/vkHJ1EaJW0A/hqdefault.jpg,2025-05-02 18:49:50+00,false,2026-09-02 08:57:00.013535+00
104,2YLCqAQETXU,Press Release Berita Resmi Statistik April 2025,https://i.ytimg.com/vi/2YLCqAQETXU/hqdefault.jpg,2025-04-08 18:57:58+00,false,2026-09-02 08:57:00.013535+00
105,RJVKTkipkRs,Press Release Berita Resmi Statistik,https://i.ytimg.com/vi/RJVKTkipkRs/hqdefault.jpg,2025-03-03 18:50:22+00,false,2026-09-02 08:57:00.013535+00
106,5TqwqtuWa3U,Sosialisasi Layanan PST BPS Kota Malang dan HaloPST,https://i.ytimg.com/vi/5TqwqtuWa3U/hqdefault.jpg,2025-02-06 17:08:32+00,false,2026-09-02 08:57:00.013535+00
107,7jPld20Okxs,Sosialisasi Layanan PST BPS Kota Malang dan HaloPST,https://i.ytimg.com/vi/7jPld20Okxs/hqdefault.jpg,2025-02-06 15:37:27+00,false,2026-09-02 08:57:00.013535+00
108,ivgQzOvel8Y,Rilis Pers - Berita Resmi Statistik Februari 2025,https://i.ytimg.com/vi/ivgQzOvel8Y/hqdefault.jpg,2025-02-03 18:24:51+00,false,2026-09-02 08:57:00.013535+00
109,bnCFm2W-KKo,Rilis Berita Resmi Statistik BPS Kota Malang Januari 2025,https://i.ytimg.com/vi/bnCFm2W-KKo/hqdefault.jpg,2025-01-02 18:39:46+00,false,2026-09-02 08:57:00.013535+00
110,Rdu0ZLsKqLA,Press Release Berita Resmi Statistik Desember 2024,https://i.ytimg.com/vi/Rdu0ZLsKqLA/hqdefault.jpg,2024-12-02 19:07:44+00,false,2026-09-02 08:57:00.013535+00
111,dprmYCOnFGQ,Press Release Berita Resmi Statistik November 2024,https://i.ytimg.com/vi/dprmYCOnFGQ/hqdefault.jpg,2024-11-01 18:38:39+00,false,2026-09-02 08:57:00.013535+00
112,FUIh7BeukGE,Press Release Berita Resmi Statistik Oktober 2024,https://i.ytimg.com/vi/FUIh7BeukGE/hqdefault.jpg,2024-10-01 19:55:12+00,false,2026-09-02 08:57:00.013535+00
113,fnNdJR8pFaI,Press Release Berita Resmi Statistik,https://i.ytimg.com/vi/fnNdJR8pFaI/hqdefault.jpg,2024-09-02 18:50:55+00,false,2026-09-02 08:57:00.013535+00
